# lrs3_safe_vocab.csv — vocabulary foundation for lip-reading-friendly scripts (Aug 2026)
# lrs3_freq: word count in 197 LRS3 transcripts (5 TED talks, datasets/lrs3orig_sync.tar)
# hist_n/hist_acc: hyp-side P(correct) from B3 per-word diagnostic (23,261 words, english_full_nbest_eval/trust_diagnostic/per_word_diagnostic.csv)
# ref_n/ref_recall: ref-side recall over 1,497 benchmark segments (english_full_results/client_outputs/report/report.csv)
# flag: safe | risky (common but poorly decoded) | function | entity | number | rare
word,lrs3_freq,hist_n,hist_acc,ref_n,ref_recall,flag,notes
single,1,10,0.500,9,0.556,safe,P(correct)=0.50 on 10 decoded; recall=0.56 on 9 ref occurrences
whether,3,5,1.000,12,0.417,safe,P(correct)=1.00 on 5 decoded; recall=0.42 on 12 ref occurrences
able,4,8,0.500,7,0.571,safe,P(correct)=0.50 on 8 decoded; recall=0.57 on 7 ref occurrences
anything,2,7,0.714,10,0.500,safe,P(correct)=0.71 on 7 decoded; recall=0.50 on 10 ref occurrences
check,0,8,0.625,11,0.545,safe,P(correct)=0.62 on 8 decoded; recall=0.55 on 11 ref occurrences
experience,3,6,0.500,10,0.300,safe,P(correct)=0.50 on 6 decoded; recall=0.30 on 10 ref occurrences
happens,2,7,0.857,10,0.600,safe,P(correct)=0.86 on 7 decoded; recall=0.60 on 10 ref occurrences
moment,6,6,0.667,7,0.714,safe,P(correct)=0.67 on 6 decoded; recall=0.71 on 7 ref occurrences
myself,3,9,0.667,7,0.857,safe,P(correct)=0.67 on 9 decoded; recall=0.86 on 7 ref occurrences
program,0,9,0.889,10,0.800,safe,P(correct)=0.89 on 9 decoded; recall=0.80 on 10 ref occurrences
reason,5,7,0.714,7,0.714,safe,P(correct)=0.71 on 7 decoded; recall=0.71 on 7 ref occurrences
united,1,13,0.308,5,1.000,safe,P(correct)=0.31 on 13 decoded; recall=1.00 on 5 ref occurrences
weight,0,8,0.875,11,0.636,safe,P(correct)=0.88 on 8 decoded; recall=0.64 on 11 ref occurrences
welcome,0,6,0.833,13,0.385,safe,P(correct)=0.83 on 6 decoded; recall=0.38 on 13 ref occurrences
wrong,3,9,0.556,7,0.714,safe,P(correct)=0.56 on 9 decoded; recall=0.71 on 7 ref occurrences
young,6,7,0.714,6,0.833,safe,P(correct)=0.71 on 7 decoded; recall=0.83 on 6 ref occurrences
believe,0,8,1.000,10,0.800,safe,P(correct)=1.00 on 8 decoded; recall=0.80 on 10 ref occurrences
company,0,7,1.000,11,0.636,safe,P(correct)=1.00 on 7 decoded; recall=0.64 on 11 ref occurrences
hands,1,8,0.500,9,0.444,safe,P(correct)=0.50 on 8 decoded; recall=0.44 on 9 ref occurrences
hard,2,10,0.500,6,0.833,safe,P(correct)=0.50 on 10 decoded; recall=0.83 on 6 ref occurrences
live,2,6,0.667,10,0.400,safe,P(correct)=0.67 on 6 decoded; recall=0.40 on 10 ref occurrences
problem,2,6,0.833,10,0.500,safe,P(correct)=0.83 on 6 decoded; recall=0.50 on 10 ref occurrences
sometimes,1,8,0.875,9,0.778,safe,P(correct)=0.88 on 8 decoded; recall=0.78 on 9 ref occurrences
though,2,6,0.833,10,0.500,safe,P(correct)=0.83 on 6 decoded; recall=0.50 on 10 ref occurrences
week,0,6,0.833,12,0.417,safe,P(correct)=0.83 on 6 decoded; recall=0.42 on 12 ref occurrences
common,0,7,0.857,10,0.700,safe,P(correct)=0.86 on 7 decoded; recall=0.70 on 10 ref occurrences
couple,2,8,0.750,7,0.857,safe,P(correct)=0.75 on 8 decoded; recall=0.86 on 7 ref occurrences
enough,4,5,0.800,8,0.500,safe,P(correct)=0.80 on 5 decoded; recall=0.50 on 8 ref occurrences
making,1,6,0.833,10,0.500,safe,P(correct)=0.83 on 6 decoded; recall=0.50 on 10 ref occurrences
minutes,2,8,0.750,7,0.857,safe,P(correct)=0.75 on 8 decoded; recall=0.86 on 7 ref occurrences
outside,2,9,0.556,6,0.833,safe,P(correct)=0.56 on 9 decoded; recall=0.83 on 6 ref occurrences
song,1,11,0.364,5,0.800,safe,P(correct)=0.36 on 11 decoded; recall=0.80 on 5 ref occurrences
turn,0,6,0.500,11,0.273,safe,P(correct)=0.50 on 6 decoded; recall=0.27 on 11 ref occurrences
yes,0,6,0.667,11,0.364,safe,P(correct)=0.67 on 6 decoded; recall=0.36 on 11 ref occurrences
almost,1,7,0.857,8,0.750,safe,P(correct)=0.86 on 7 decoded; recall=0.75 on 8 ref occurrences
already,0,5,0.600,11,0.273,safe,P(correct)=0.60 on 5 decoded; recall=0.27 on 11 ref occurrences
ask,2,6,0.500,8,0.375,safe,P(correct)=0.50 on 6 decoded; recall=0.38 on 8 ref occurrences
difference,1,6,0.833,9,0.556,safe,P(correct)=0.83 on 6 decoded; recall=0.56 on 9 ref occurrences
music,7,5,0.600,4,0.750,safe,P(correct)=0.60 on 5 decoded
series,1,7,1.000,8,0.875,safe,P(correct)=1.00 on 7 decoded; recall=0.88 on 8 ref occurrences
space,2,8,0.500,6,0.833,safe,P(correct)=0.50 on 8 decoded; recall=0.83 on 6 ref occurrences
based,2,6,0.500,7,0.571,safe,P(correct)=0.50 on 6 decoded; recall=0.57 on 7 ref occurrences
else,1,8,0.250,6,0.500,safe,P(correct)=0.25 on 8 decoded; recall=0.50 on 6 ref occurrences
future,1,5,0.800,9,0.444,safe,P(correct)=0.80 on 5 decoded; recall=0.44 on 9 ref occurrences
itself,1,6,0.667,8,0.500,safe,P(correct)=0.67 on 6 decoded; recall=0.50 on 8 ref occurrences
light,1,5,0.800,9,0.444,safe,P(correct)=0.80 on 5 decoded; recall=0.44 on 9 ref occurrences
line,0,5,0.800,10,0.400,safe,P(correct)=0.80 on 5 decoded; recall=0.40 on 10 ref occurrences
matters,15,0,,0,,safe,unmeasured in benchmark; qualifies on LRS3 frequency
people's,2,6,0.833,7,1.000,safe,P(correct)=0.83 on 6 decoded; recall=1.00 on 7 ref occurrences
without,3,5,0.800,7,0.571,safe,P(correct)=0.80 on 5 decoded; recall=0.57 on 7 ref occurrences
asking,9,3,0.667,2,1.000,safe,unmeasured in benchmark; qualifies on LRS3 frequency
enjoy,5,4,0.750,5,0.600,safe,recall=0.60 on 5 ref occurrences
matter,3,5,0.800,6,0.833,safe,P(correct)=0.80 on 5 decoded; recall=0.83 on 6 ref occurrences
needs,1,7,0.571,6,0.667,safe,P(correct)=0.57 on 7 decoded; recall=0.67 on 6 ref occurrences
possible,7,3,1.000,4,0.750,safe,unmeasured in benchmark; qualifies on LRS3 frequency
share,1,6,0.500,7,0.429,safe,P(correct)=0.50 on 6 decoded; recall=0.43 on 7 ref occurrences
social,2,6,0.667,6,0.833,safe,P(correct)=0.67 on 6 decoded; recall=0.83 on 6 ref occurrences
sound,1,6,0.500,7,0.429,safe,P(correct)=0.50 on 6 decoded; recall=0.43 on 7 ref occurrences
university,4,5,0.800,5,0.800,safe,P(correct)=0.80 on 5 decoded; recall=0.80 on 5 ref occurrences
until,3,5,0.600,6,0.500,safe,P(correct)=0.60 on 5 decoded; recall=0.50 on 6 ref occurrences
worked,4,4,0.750,6,0.500,safe,recall=0.50 on 6 ref occurrences
completely,4,4,1.000,5,0.800,safe,recall=0.80 on 5 ref occurrences
die,5,3,0.667,5,0.600,safe,recall=0.60 on 5 ref occurrences
lesson,3,4,1.000,6,0.667,safe,recall=0.67 on 6 ref occurrences
order,1,6,0.500,6,0.500,safe,P(correct)=0.50 on 6 decoded; recall=0.50 on 6 ref occurrences
reading,1,4,1.000,8,0.625,safe,recall=0.62 on 8 ref occurrences
structure,4,4,1.000,5,0.800,safe,recall=0.80 on 5 ref occurrences
tried,1,6,0.667,6,0.667,safe,P(correct)=0.67 on 6 decoded; recall=0.67 on 6 ref occurrences
wants,1,5,0.600,7,0.429,safe,P(correct)=0.60 on 5 decoded; recall=0.43 on 7 ref occurrences
eyes,1,6,0.500,5,0.800,safe,P(correct)=0.50 on 6 decoded; recall=0.80 on 5 ref occurrences
heard,1,6,0.500,5,0.600,safe,P(correct)=0.50 on 6 decoded; recall=0.60 on 5 ref occurrences
lives,6,3,1.000,3,1.000,safe,unmeasured in benchmark; qualifies on LRS3 frequency
lose,1,5,0.600,6,0.500,safe,P(correct)=0.60 on 5 decoded; recall=0.50 on 6 ref occurrences
questions,3,4,1.000,5,1.000,safe,recall=1.00 on 5 ref occurrences
wait,3,5,0.800,4,1.000,safe,P(correct)=0.80 on 5 decoded
achieve,1,5,0.800,5,0.800,safe,P(correct)=0.80 on 5 decoded; recall=0.80 on 5 ref occurrences
answer,1,5,0.600,5,0.600,safe,P(correct)=0.60 on 5 decoded; recall=0.60 on 5 ref occurrences
benefit,1,5,0.800,5,0.800,safe,P(correct)=0.80 on 5 decoded; recall=0.80 on 5 ref occurrences
changing,5,4,0.250,2,0.500,safe,unmeasured in benchmark; qualifies on LRS3 frequency
decision,5,2,1.000,4,0.500,safe,unmeasured in benchmark; qualifies on LRS3 frequency
film,4,4,0.750,3,1.000,safe,unmeasured in benchmark; qualifies on LRS3 frequency
individual,1,5,0.600,5,0.600,safe,P(correct)=0.60 on 5 decoded; recall=0.60 on 5 ref occurrences
involved,5,3,0.667,3,0.667,safe,unmeasured in benchmark; qualifies on LRS3 frequency
night,5,2,1.000,4,0.500,safe,unmeasured in benchmark; qualifies on LRS3 frequency
playing,4,4,0.250,3,0.333,safe,unmeasured in benchmark; qualifies on LRS3 frequency
situation,2,4,1.000,5,0.800,safe,recall=0.80 on 5 ref occurrences
spend,3,4,0.500,4,0.500,safe,unmeasured in benchmark; qualifies on LRS3 frequency
brought,1,5,0.600,4,0.750,safe,P(correct)=0.60 on 5 decoded
certainly,3,4,0.750,3,1.000,safe,unmeasured in benchmark; qualifies on LRS3 frequency
create,4,3,0.333,3,0.333,safe,unmeasured in benchmark; qualifies on LRS3 frequency
decisions,5,2,1.000,3,0.667,safe,unmeasured in benchmark; qualifies on LRS3 frequency
everywhere,1,4,1.000,5,0.800,safe,recall=0.80 on 5 ref occurrences
happening,1,5,0.800,4,1.000,safe,P(correct)=0.80 on 5 decoded
hopefully,3,3,0.667,4,0.750,safe,unmeasured in benchmark; qualifies on LRS3 frequency
least,1,5,0.600,4,0.750,safe,P(correct)=0.60 on 5 decoded
meant,1,5,0.600,4,0.750,safe,P(correct)=0.60 on 5 decoded
media,3,4,0.750,3,1.000,safe,unmeasured in benchmark; qualifies on LRS3 frequency
plan,1,5,0.800,4,1.000,safe,P(correct)=0.80 on 5 decoded
realize,2,5,0.600,3,1.000,safe,P(correct)=0.60 on 5 decoded
relationship,1,6,0.500,3,1.000,safe,P(correct)=0.50 on 6 decoded
stop,1,5,0.600,4,0.750,safe,P(correct)=0.60 on 5 decoded
took,3,4,0.250,3,0.333,safe,unmeasured in benchmark; qualifies on LRS3 frequency
continue,4,3,0.333,2,0.500,safe,unmeasured in benchmark; qualifies on LRS3 frequency
extra,1,3,1.000,5,0.600,safe,recall=0.60 on 5 ref occurrences
form,3,3,0.667,3,0.667,safe,unmeasured in benchmark; qualifies on LRS3 frequency
ground,3,3,0.333,3,0.333,safe,unmeasured in benchmark; qualifies on LRS3 frequency
late,4,2,1.000,3,0.667,safe,unmeasured in benchmark; qualifies on LRS3 frequency
met,3,3,0.667,3,0.667,safe,unmeasured in benchmark; qualifies on LRS3 frequency
sorry,1,3,1.000,5,0.800,safe,recall=0.80 on 5 ref occurrences
success,4,2,1.000,3,0.667,safe,unmeasured in benchmark; qualifies on LRS3 frequency
war,1,3,0.667,5,0.600,safe,recall=0.60 on 5 ref occurrences
afghanistan,4,2,1.000,2,1.000,safe,unmeasured in benchmark; qualifies on LRS3 frequency
amazing,3,3,0.667,2,1.000,safe,unmeasured in benchmark; qualifies on LRS3 frequency
global,5,2,0.500,1,1.000,safe,unmeasured in benchmark; qualifies on LRS3 frequency
intensive,7,0,,1,0.000,safe,unmeasured in benchmark; qualifies on LRS3 frequency
peace,4,2,0.500,2,0.500,safe,unmeasured in benchmark; qualifies on LRS3 frequency
track,3,2,0.000,3,0.000,safe,unmeasured in benchmark; qualifies on LRS3 frequency
changed,3,0,,4,0.000,safe,unmeasured in benchmark; qualifies on LRS3 frequency
lots,4,1,1.000,2,0.500,safe,unmeasured in benchmark; qualifies on LRS3 frequency
office,6,0,,1,0.000,safe,unmeasured in benchmark; qualifies on LRS3 frequency
truce,7,0,,0,,safe,unmeasured in benchmark; qualifies on LRS3 frequency
answers,6,0,,0,,safe,unmeasured in benchmark; qualifies on LRS3 frequency
beneficial,3,1,1.000,2,0.500,safe,unmeasured in benchmark; qualifies on LRS3 frequency
career,4,1,1.000,1,1.000,safe,unmeasured in benchmark; qualifies on LRS3 frequency
drive,4,1,0.000,1,0.000,safe,unmeasured in benchmark; qualifies on LRS3 frequency
dying,3,2,0.500,1,1.000,safe,unmeasured in benchmark; qualifies on LRS3 frequency
fantastic,5,0,,1,0.000,safe,unmeasured in benchmark; qualifies on LRS3 frequency
forgotten,4,1,1.000,1,1.000,safe,unmeasured in benchmark; qualifies on LRS3 frequency
impact,5,1,0.000,0,,safe,unmeasured in benchmark; qualifies on LRS3 frequency
path,4,2,0.000,0,,safe,unmeasured in benchmark; qualifies on LRS3 frequency
rather,4,1,0.000,1,0.000,safe,unmeasured in benchmark; qualifies on LRS3 frequency
result,3,1,1.000,2,0.500,safe,unmeasured in benchmark; qualifies on LRS3 frequency
spending,6,0,,0,,safe,unmeasured in benchmark; qualifies on LRS3 frequency
suddenly,4,1,1.000,1,1.000,safe,unmeasured in benchmark; qualifies on LRS3 frequency
sunflower,6,0,,0,,safe,unmeasured in benchmark; qualifies on LRS3 frequency
waiting,3,2,0.000,1,0.000,safe,unmeasured in benchmark; qualifies on LRS3 frequency
ensure,3,1,0.000,1,0.000,safe,unmeasured in benchmark; qualifies on LRS3 frequency
incredible,5,0,,0,,safe,unmeasured in benchmark; qualifies on LRS3 frequency
individuals,4,0,,1,0.000,safe,unmeasured in benchmark; qualifies on LRS3 frequency
studying,3,0,,2,0.000,safe,unmeasured in benchmark; qualifies on LRS3 frequency
wonderful,3,1,1.000,1,1.000,safe,unmeasured in benchmark; qualifies on LRS3 frequency
brahimi,4,0,,0,,safe,unmeasured in benchmark; qualifies on LRS3 frequency
businesses,3,0,,1,0.000,safe,unmeasured in benchmark; qualifies on LRS3 frequency
letters,4,0,,0,,safe,unmeasured in benchmark; qualifies on LRS3 frequency
passionate,4,0,,0,,safe,unmeasured in benchmark; qualifies on LRS3 frequency
annan,3,0,,0,,safe,unmeasured in benchmark; qualifies on LRS3 frequency
dalai,3,0,,0,,safe,unmeasured in benchmark; qualifies on LRS3 frequency
filming,3,0,,0,,safe,unmeasured in benchmark; qualifies on LRS3 frequency
flute,3,0,,0,,safe,unmeasured in benchmark; qualifies on LRS3 frequency
journey,3,0,,0,,safe,unmeasured in benchmark; qualifies on LRS3 frequency
knowing,3,0,,0,,safe,unmeasured in benchmark; qualifies on LRS3 frequency
lama,3,0,,0,,safe,unmeasured in benchmark; qualifies on LRS3 frequency
mattered,3,0,,0,,safe,unmeasured in benchmark; qualifies on LRS3 frequency
priorities,3,0,,0,,safe,unmeasured in benchmark; qualifies on LRS3 frequency
providing,3,0,,0,,safe,unmeasured in benchmark; qualifies on LRS3 frequency
realise,3,0,,0,,safe,unmeasured in benchmark; qualifies on LRS3 frequency
sombre,3,0,,0,,safe,unmeasured in benchmark; qualifies on LRS3 frequency
structured,3,0,,0,,safe,unmeasured in benchmark; qualifies on LRS3 frequency
suppose,3,0,,0,,safe,unmeasured in benchmark; qualifies on LRS3 frequency
surely,3,0,,0,,safe,unmeasured in benchmark; qualifies on LRS3 frequency
younger,3,0,,0,,safe,unmeasured in benchmark; qualifies on LRS3 frequency
it's,17,138,0.362,159,0.440,risky,common but poorly decoded; P(correct)=0.36 on 138 decoded; recall=0.44 on 159 ref occurrences
want,10,66,0.439,64,0.484,risky,common but poorly decoded; P(correct)=0.44 on 66 decoded; recall=0.48 on 64 ref occurrences
we're,3,41,0.488,76,0.329,risky,common but poorly decoded; P(correct)=0.49 on 41 decoded; recall=0.33 on 76 ref occurrences
had,24,43,0.465,49,0.429,risky,common but poorly decoded; P(correct)=0.47 on 43 decoded; recall=0.43 on 49 ref occurrences
here,5,35,0.286,71,0.155,risky,common but poorly decoded; P(correct)=0.29 on 35 decoded; recall=0.15 on 71 ref occurrences
see,7,48,0.458,53,0.434,risky,common but poorly decoded; P(correct)=0.46 on 48 decoded; recall=0.43 on 53 ref occurrences
would,10,42,0.476,51,0.490,risky,common but poorly decoded; P(correct)=0.48 on 42 decoded; recall=0.49 on 51 ref occurrences
has,9,44,0.477,49,0.449,risky,common but poorly decoded; P(correct)=0.48 on 44 decoded; recall=0.45 on 49 ref occurrences
into,6,47,0.362,43,0.442,risky,common but poorly decoded; P(correct)=0.36 on 47 decoded; recall=0.44 on 43 ref occurrences
little,7,35,0.371,46,0.304,risky,common but poorly decoded; P(correct)=0.37 on 35 decoded; recall=0.30 on 46 ref occurrences
were,5,33,0.485,47,0.362,risky,common but poorly decoded; P(correct)=0.48 on 33 decoded; recall=0.36 on 47 ref occurrences
his,14,25,0.320,23,0.391,risky,common but poorly decoded; P(correct)=0.32 on 25 decoded; recall=0.39 on 23 ref occurrences
said,15,25,0.320,22,0.409,risky,common but poorly decoded; P(correct)=0.32 on 25 decoded; recall=0.41 on 22 ref occurrences
start,8,24,0.458,30,0.400,risky,common but poorly decoded; P(correct)=0.46 on 24 decoded; recall=0.40 on 30 ref occurrences
take,4,34,0.294,24,0.417,risky,common but poorly decoded; P(correct)=0.29 on 34 decoded; recall=0.42 on 24 ref occurrences
they're,0,14,0.429,40,0.225,risky,common but poorly decoded; P(correct)=0.43 on 14 decoded; recall=0.23 on 40 ref occurrences
today,6,24,0.417,24,0.458,risky,common but poorly decoded; P(correct)=0.42 on 24 decoded; recall=0.46 on 24 ref occurrences
world,7,27,0.259,18,0.444,risky,common but poorly decoded; P(correct)=0.26 on 27 decoded; recall=0.44 on 18 ref occurrences
him,13,18,0.389,17,0.471,risky,common but poorly decoded; P(correct)=0.39 on 18 decoded; recall=0.47 on 17 ref occurrences
did,8,19,0.368,16,0.438,risky,common but poorly decoded; P(correct)=0.37 on 19 decoded; recall=0.44 on 16 ref occurrences
i've,5,15,0.467,22,0.364,risky,common but poorly decoded; P(correct)=0.47 on 15 decoded; recall=0.36 on 22 ref occurrences
love,9,17,0.353,13,0.462,risky,common but poorly decoded; P(correct)=0.35 on 17 decoded; recall=0.46 on 13 ref occurrences
her,0,19,0.316,19,0.368,risky,common but poorly decoded; P(correct)=0.32 on 19 decoded; recall=0.37 on 19 ref occurrences
again,0,13,0.462,23,0.304,risky,common but poorly decoded; P(correct)=0.46 on 13 decoded; recall=0.30 on 23 ref occurrences
made,9,14,0.214,10,0.300,risky,common but poorly decoded; P(correct)=0.21 on 14 decoded; recall=0.30 on 10 ref occurrences
doesn't,0,15,0.200,17,0.353,risky,common but poorly decoded; P(correct)=0.20 on 15 decoded; recall=0.35 on 17 ref occurrences
saying,4,12,0.417,16,0.312,risky,common but poorly decoded; P(correct)=0.42 on 12 decoded; recall=0.31 on 16 ref occurrences
okay,2,3,0.667,26,0.077,risky,common but poorly decoded; recall=0.08 on 26 ref occurrences
too,5,13,0.462,13,0.462,risky,common but poorly decoded; P(correct)=0.46 on 13 decoded; recall=0.46 on 13 ref occurrences
gonna,0,2,0.000,28,0.000,risky,common but poorly decoded; recall=0.00 on 28 ref occurrences
side,1,12,0.250,14,0.214,risky,common but poorly decoded; P(correct)=0.25 on 12 decoded; recall=0.21 on 14 ref occurrences
does,1,10,0.300,15,0.267,risky,common but poorly decoded; P(correct)=0.30 on 10 decoded; recall=0.27 on 15 ref occurrences
i'll,0,9,0.222,17,0.235,risky,common but poorly decoded; P(correct)=0.22 on 9 decoded; recall=0.24 on 17 ref occurrences
real,0,12,0.333,14,0.357,risky,common but poorly decoded; P(correct)=0.33 on 12 decoded; recall=0.36 on 14 ref occurrences
used,1,13,0.231,12,0.250,risky,common but poorly decoded; P(correct)=0.23 on 13 decoded; recall=0.25 on 12 ref occurrences
what's,1,9,0.333,14,0.214,risky,common but poorly decoded; P(correct)=0.33 on 9 decoded; recall=0.21 on 14 ref occurrences
end,0,9,0.222,14,0.143,risky,common but poorly decoded; P(correct)=0.22 on 9 decoded; recall=0.14 on 14 ref occurrences
once,1,10,0.400,10,0.400,risky,common but poorly decoded; P(correct)=0.40 on 10 decoded; recall=0.40 on 10 ref occurrences
getting,1,7,0.429,12,0.250,risky,common but poorly decoded; P(correct)=0.43 on 7 decoded; recall=0.25 on 12 ref occurrences
happy,7,8,0.375,4,0.750,risky,common but poorly decoded; P(correct)=0.38 on 8 decoded
nice,0,7,0.429,12,0.250,risky,common but poorly decoded; P(correct)=0.43 on 7 decoded; recall=0.25 on 12 ref occurrences
percent,4,10,0.200,4,0.500,risky,common but poorly decoded; P(correct)=0.20 on 10 decoded
understand,1,9,0.333,8,0.375,risky,common but poorly decoded; P(correct)=0.33 on 9 decoded; recall=0.38 on 8 ref occurrences
eye,1,7,0.429,9,0.333,risky,common but poorly decoded; P(correct)=0.43 on 7 decoded; recall=0.33 on 9 ref occurrences
you'll,3,4,0.250,10,0.100,risky,common but poorly decoded; recall=0.10 on 10 ref occurrences
behind,3,7,0.286,6,0.333,risky,common but poorly decoded; P(correct)=0.29 on 7 decoded; recall=0.33 on 6 ref occurrences
case,5,5,0.400,6,0.333,risky,common but poorly decoded; P(correct)=0.40 on 5 decoded; recall=0.33 on 6 ref occurrences
we'll,1,7,0.143,8,0.125,risky,common but poorly decoded; P(correct)=0.14 on 7 decoded; recall=0.12 on 8 ref occurrences
care,7,3,0.000,5,0.000,risky,common but poorly decoded; recall=0.00 on 5 ref occurrences
comes,4,5,0.400,6,0.333,risky,common but poorly decoded; P(correct)=0.40 on 5 decoded; recall=0.33 on 6 ref occurrences
here's,0,4,0.500,11,0.182,risky,common but poorly decoded; recall=0.18 on 11 ref occurrences
hey,0,3,0.667,11,0.182,risky,common but poorly decoded; recall=0.18 on 11 ref occurrences
level,1,4,0.500,9,0.222,risky,common but poorly decoded; recall=0.22 on 9 ref occurrences
man,3,5,0.200,6,0.167,risky,common but poorly decoded; P(correct)=0.20 on 5 decoded; recall=0.17 on 6 ref occurrences
says,0,4,0.500,10,0.200,risky,common but poorly decoded; recall=0.20 on 10 ref occurrences
type,0,4,0.250,10,0.100,risky,common but poorly decoded; recall=0.10 on 10 ref occurrences
its,1,4,0.250,8,0.125,risky,common but poorly decoded; recall=0.12 on 8 ref occurrences
living,4,3,0.667,6,0.333,risky,common but poorly decoded; recall=0.33 on 6 ref occurrences
read,3,4,0.250,6,0.167,risky,common but poorly decoded; recall=0.17 on 6 ref occurrences
saw,3,6,0.333,4,0.500,risky,common but poorly decoded; P(correct)=0.33 on 6 decoded
along,3,3,0.667,6,0.333,risky,common but poorly decoded; recall=0.33 on 6 ref occurrences
friends,4,5,0.400,3,0.667,risky,common but poorly decoded; P(correct)=0.40 on 5 decoded
key,3,6,0.167,3,0.333,risky,common but poorly decoded; P(correct)=0.17 on 6 decoded
ways,4,5,0.400,3,0.667,risky,common but poorly decoded; P(correct)=0.40 on 5 decoded
decided,4,5,0.400,2,1.000,risky,common but poorly decoded; P(correct)=0.40 on 5 decoded
must,3,3,0.333,5,0.200,risky,common but poorly decoded; recall=0.20 on 5 ref occurrences
quite,3,3,0.667,5,0.400,risky,common but poorly decoded; recall=0.40 on 5 ref occurrences
support,3,5,0.400,3,0.667,risky,common but poorly decoded; P(correct)=0.40 on 5 decoded
wasn't,4,5,0.200,2,0.500,risky,common but poorly decoded; P(correct)=0.20 on 5 decoded
starting,3,2,0.500,5,0.200,risky,common but poorly decoded; recall=0.20 on 5 ref occurrences
the,192,972,0.617,1081,0.734,function,
to,201,887,0.539,852,0.739,function,
and,162,705,0.582,820,0.657,function,
i,184,594,0.582,586,0.737,function,
a,88,548,0.544,659,0.612,function,
of,114,500,0.706,558,0.729,function,
in,86,342,0.462,398,0.513,function,
is,79,343,0.519,382,0.592,function,
it,61,298,0.480,362,0.528,function,
so,20,274,0.595,302,0.632,function,
we,65,179,0.642,195,0.651,function,
on,23,147,0.558,179,0.508,function,
my,42,145,0.703,154,0.734,function,
be,30,151,0.576,158,0.665,function,
or,12,118,0.559,156,0.506,function,
do,46,105,0.476,118,0.525,function,
if,19,112,0.732,138,0.623,function,
as,26,93,0.559,122,0.426,function,
at,26,97,0.526,107,0.542,function,
me,22,81,0.543,72,0.639,function,
he,44,56,0.411,62,0.468,function,
up,9,61,0.623,73,0.603,function,
an,10,58,0.414,64,0.422,function,
go,20,51,0.549,56,0.518,function,
by,15,48,0.521,52,0.519,function,
no,12,45,0.489,53,0.547,function,
us,8,34,0.294,28,0.429,function,
am,9,19,0.368,12,0.583,function,
oh,0,6,0.833,13,0.385,function,
s,3,4,0.000,12,0.250,function,
d,0,2,0.000,13,0.000,function,
th,1,0,,8,0.625,function,
u,3,1,0.000,2,0.000,function,
st,4,0,,1,0.000,function,
n,2,0,,2,0.000,function,
o,1,3,0.000,0,,function,
may,0,9,0.444,15,0.267,entity,
god,0,10,0.600,13,0.462,entity,
india,1,4,0.000,5,0.000,entity,
september,3,2,0.500,2,0.500,entity,
york,1,4,0.000,0,,entity,
john,1,1,0.000,2,0.000,entity,
london,1,2,0.000,0,,entity,
mary,1,0,,0,,entity,
one,15,98,0.582,102,0.588,number,
first,11,34,0.706,33,0.788,number,
two,3,36,0.583,36,0.611,number,
second,3,16,0.500,15,0.533,number,
three,2,16,0.438,14,0.571,number,
four,2,9,0.333,11,0.273,number,
half,1,7,0.714,14,0.357,number,
six,1,7,0.143,8,0.125,number,
eight,1,6,0.167,4,0.250,number,
seventh,1,3,0.667,2,1.000,number,
story,2,16,0.062,5,0.200,rare,"low evidence (lrs3=2, ref_n=5)"
exactly,1,7,0.429,7,0.429,rare,"low evidence (lrs3=1, ref_n=7)"
kids,2,8,0.000,4,0.000,rare,"low evidence (lrs3=2, ref_n=4)"
sitting,2,8,0.250,4,0.500,rare,"low evidence (lrs3=2, ref_n=4)"
someone,2,8,0.250,4,0.500,rare,"low evidence (lrs3=2, ref_n=4)"
knew,2,5,0.400,6,0.333,rare,"low evidence (lrs3=2, ref_n=6)"
mind,2,8,0.125,3,0.333,rare,"low evidence (lrs3=2, ref_n=3)"
soon,1,5,0.400,7,0.286,rare,"low evidence (lrs3=1, ref_n=7)"
top,1,5,0.200,7,0.143,rare,"low evidence (lrs3=1, ref_n=7)"
clear,2,4,0.500,6,0.333,rare,"low evidence (lrs3=2, ref_n=6)"
since,2,5,0.400,5,0.400,rare,"low evidence (lrs3=2, ref_n=5)"
stage,1,6,0.333,5,0.400,rare,"low evidence (lrs3=1, ref_n=5)"
team,2,7,0.286,3,0.667,rare,"low evidence (lrs3=2, ref_n=3)"
walk,2,7,0.286,3,0.667,rare,"low evidence (lrs3=2, ref_n=3)"
yet,2,6,0.333,4,0.500,rare,"low evidence (lrs3=2, ref_n=4)"
children,1,3,0.333,7,0.143,rare,"low evidence (lrs3=1, ref_n=7)"
community,1,5,0.400,5,0.400,rare,"low evidence (lrs3=1, ref_n=5)"
learned,1,6,0.167,4,0.250,rare,"low evidence (lrs3=1, ref_n=4)"
minute,1,4,0.250,6,0.167,rare,"low evidence (lrs3=1, ref_n=6)"
quickly,2,5,0.200,4,0.250,rare,"low evidence (lrs3=2, ref_n=4)"
run,1,5,0.400,5,0.400,rare,"low evidence (lrs3=1, ref_n=5)"
under,1,6,0.333,4,0.500,rare,"low evidence (lrs3=1, ref_n=4)"
word,1,6,0.000,4,0.000,rare,"low evidence (lrs3=1, ref_n=4)"
born,1,6,0.333,3,0.667,rare,"low evidence (lrs3=1, ref_n=3)"
