# lrs3_safe_vocab.csv — vocabulary foundation for lip-reading-friendly scripts (Aug 2026)
# lrs3_freq: word count in 197 LRS3 transcripts (5 TED talks, datasets/lrs3orig_sync.tar)
# hist_n/hist_acc: hyp-side P(correct) from B3 per-word diagnostic (23,261 words, english_full_nbest_eval/trust_diagnostic/per_word_diagnostic.csv)
# ref_n/ref_recall: ref-side recall over 1,497 benchmark segments (english_full_results/client_outputs/report/report.csv)
# flag: safe | risky (common but poorly decoded) | function | entity | number | rare
word,lrs3_freq,hist_n,hist_acc,ref_n,ref_recall,flag,notes
make,10,48,0.729,56,0.643,safe,P(correct)=0.73 on 48 decoded; recall=0.64 on 56 ref occurrences
then,12,44,0.545,57,0.456,safe,P(correct)=0.55 on 44 decoded; recall=0.46 on 57 ref occurrences
say,8,48,0.500,54,0.519,safe,P(correct)=0.50 on 48 decoded; recall=0.52 on 54 ref occurrences
something,9,46,0.783,55,0.691,safe,P(correct)=0.78 on 46 decoded; recall=0.69 on 55 ref occurrences
why,22,44,0.591,40,0.725,safe,P(correct)=0.59 on 44 decoded; recall=0.72 on 40 ref occurrences
way,12,41,0.683,49,0.592,safe,P(correct)=0.68 on 41 decoded; recall=0.59 on 49 ref occurrences
these,6,38,0.658,47,0.617,safe,P(correct)=0.66 on 38 decoded; recall=0.62 on 47 ref occurrences
well,2,31,0.806,58,0.483,safe,P(correct)=0.81 on 31 decoded; recall=0.48 on 58 ref occurrences
been,10,35,0.686,45,0.600,safe,P(correct)=0.69 on 35 decoded; recall=0.60 on 45 ref occurrences
also,0,43,0.698,45,0.689,safe,P(correct)=0.70 on 43 decoded; recall=0.69 on 45 ref occurrences
actually,16,33,0.727,37,0.676,safe,P(correct)=0.73 on 33 decoded; recall=0.68 on 37 ref occurrences
which,9,37,0.595,40,0.600,safe,P(correct)=0.59 on 37 decoded; recall=0.60 on 40 ref occurrences
there's,6,29,0.690,50,0.420,safe,P(correct)=0.69 on 29 decoded; recall=0.42 on 50 ref occurrences
their,8,32,0.562,42,0.452,safe,P(correct)=0.56 on 32 decoded; recall=0.45 on 42 ref occurrences
those,17,29,0.690,36,0.556,safe,P(correct)=0.69 on 29 decoded; recall=0.56 on 36 ref occurrences
doing,15,26,0.846,40,0.550,safe,P(correct)=0.85 on 26 decoded; recall=0.55 on 40 ref occurrences
back,12,32,0.656,36,0.639,safe,P(correct)=0.66 on 32 decoded; recall=0.64 on 36 ref occurrences
got,14,27,0.519,38,0.421,safe,P(correct)=0.52 on 27 decoded; recall=0.42 on 38 ref occurrences
lot,6,32,0.719,41,0.561,safe,P(correct)=0.72 on 32 decoded; recall=0.56 on 41 ref occurrences
much,5,34,0.735,40,0.625,safe,P(correct)=0.74 on 34 decoded; recall=0.62 on 40 ref occurrences
other,4,33,0.576,40,0.475,safe,P(correct)=0.58 on 33 decoded; recall=0.47 on 40 ref occurrences
years,2,51,0.373,24,0.833,safe,P(correct)=0.37 on 51 decoded; recall=0.83 on 24 ref occurrences
only,4,27,0.852,43,0.558,safe,P(correct)=0.85 on 27 decoded; recall=0.56 on 43 ref occurrences
down,9,32,0.688,30,0.767,safe,P(correct)=0.69 on 32 decoded; recall=0.77 on 30 ref occurrences
need,3,30,0.633,37,0.541,safe,P(correct)=0.63 on 30 decoded; recall=0.54 on 37 ref occurrences
could,13,20,0.600,36,0.333,safe,P(correct)=0.60 on 20 decoded; recall=0.33 on 36 ref occurrences
most,14,27,0.778,26,0.846,safe,P(correct)=0.78 on 27 decoded; recall=0.85 on 26 ref occurrences
use,6,21,0.571,40,0.325,safe,P(correct)=0.57 on 21 decoded; recall=0.33 on 40 ref occurrences
even,3,30,0.567,33,0.515,safe,P(correct)=0.57 on 30 decoded; recall=0.52 on 33 ref occurrences
look,5,24,0.542,37,0.351,safe,P(correct)=0.54 on 24 decoded; recall=0.35 on 37 ref occurrences
who,10,29,0.414,27,0.593,safe,P(correct)=0.41 on 29 decoded; recall=0.59 on 27 ref occurrences
any,3,31,0.452,31,0.548,safe,P(correct)=0.45 on 31 decoded; recall=0.55 on 31 ref occurrences
important,13,26,0.692,26,0.731,safe,P(correct)=0.69 on 26 decoded; recall=0.73 on 26 ref occurrences
than,5,29,0.621,30,0.633,safe,P(correct)=0.62 on 29 decoded; recall=0.63 on 30 ref occurrences
life,26,16,0.562,21,0.571,safe,P(correct)=0.56 on 16 decoded; recall=0.57 on 21 ref occurrences
over,5,23,0.739,35,0.514,safe,P(correct)=0.74 on 23 decoded; recall=0.51 on 35 ref occurrences
talk,11,27,0.481,24,0.542,safe,P(correct)=0.48 on 27 decoded; recall=0.54 on 24 ref occurrences
day,11,29,0.310,21,0.571,safe,P(correct)=0.31 on 29 decoded; recall=0.57 on 21 ref occurrences
good,3,22,0.545,36,0.333,safe,P(correct)=0.55 on 22 decoded; recall=0.33 on 36 ref occurrences
thing,7,20,0.650,34,0.412,safe,P(correct)=0.65 on 20 decoded; recall=0.41 on 34 ref occurrences
wanted,10,30,0.400,21,0.762,safe,P(correct)=0.40 on 30 decoded; recall=0.76 on 21 ref occurrences
being,7,31,0.355,21,0.571,safe,P(correct)=0.35 on 31 decoded; recall=0.57 on 21 ref occurrences
through,9,29,0.379,21,0.571,safe,P(correct)=0.38 on 29 decoded; recall=0.57 on 21 ref occurrences
work,10,21,0.571,28,0.464,safe,P(correct)=0.57 on 21 decoded; recall=0.46 on 28 ref occurrences
before,0,27,0.852,30,0.767,safe,P(correct)=0.85 on 27 decoded; recall=0.77 on 30 ref occurrences
kind,2,23,0.565,32,0.469,safe,P(correct)=0.57 on 23 decoded; recall=0.47 on 32 ref occurrences
let's,0,21,0.619,36,0.389,safe,P(correct)=0.62 on 21 decoded; recall=0.39 on 36 ref occurrences
new,2,22,0.636,30,0.500,safe,P(correct)=0.64 on 22 decoded; recall=0.50 on 30 ref occurrences
she,2,29,0.379,22,0.591,safe,P(correct)=0.38 on 29 decoded; recall=0.59 on 22 ref occurrences
tell,2,29,0.379,22,0.500,safe,P(correct)=0.38 on 29 decoded; recall=0.50 on 22 ref occurrences
come,5,27,0.370,19,0.526,safe,P(correct)=0.37 on 27 decoded; recall=0.53 on 19 ref occurrences
always,2,27,0.519,21,0.762,safe,P(correct)=0.52 on 27 decoded; recall=0.76 on 21 ref occurrences
